"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","Values(Rs. Cr.)","BROADCAST DATE"
"Salona Cotspin Limited","5262400","3530708","    67.09","1731692","10000","     0.28","     0.19",,"23-Oct-2025 16:30:50","13446","5098500","0.26",,"23-Oct-2025 16:30:50"
"Salzer Electronics Limited","17682737","6625647","    37.47","11057090","1139455","    17.20","     6.44",,"23-Oct-2025 16:30:49","2564136","17510032","14.64",,"23-Oct-2025 16:30:49"
"Sambhaav Media Limited","191110840","120273982","    62.93","70836858","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","1793999","186815790","0.96",,"23-Oct-2025 16:30:23"
"Sammaan Capital Limited","831383143","15870000","     1.91","815513143","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","184088229","828362248","22.22",,"23-Oct-2025 16:30:48"
"Samvardhana Motherson International Limited","10554442601","5127864114","    48.58","5426578487","148500000","     2.90","     1.41",,"23-Oct-2025 16:30:23","247336288","10544522946","2.35",,"23-Oct-2025 16:30:23"
"Sanco Industries Limited","13082000","5559361","    42.50","7522639","0","     0.00","     0.00",,"23-Oct-2025 16:30:48","114299","13081999","0.87",,"23-Oct-2025 16:30:48"
"Sangam (India) Limited","50246559","35904734","    71.46","14341825","0","     0.00","     0.00",,"23-Oct-2025 16:30:23","1081283","50180870","2.15",,"23-Oct-2025 16:30:23"
"Sanghi Industries Limited","258326000","193744040","    75.00","64581960","27316300","    14.10","    10.57",,"23-Oct-2025 16:30:23","37806458","258326000","14.64",,"23-Oct-2025 16:30:23"
"Sanghvi Movers Limited","86576000","40906254","    47.25","45669746","0","     0.00","     0.00",,"23-Oct-2025 16:30:26","5557663","86427000","6.43",,"23-Oct-2025 16:30:26"
"Sanofi India Limited","23030622","13909587","    60.40","9121035","0","     0.00","     0.00",,"23-Oct-2025 16:30:15","172439","22965690","0.75",,"23-Oct-2025 16:30:15"
"Sanwaria Consumer Limited","805892119","91403391","    11.34","714488728","0","     0.00","     0.00",,"23-Oct-2025 16:30:34","9832329","709725221","1.39",,"23-Oct-2025 16:30:34"
"Sarda Energy & Minerals Limited","352381270","257796726","    73.16","94584544","0","     0.00","     0.00",,"23-Oct-2025 16:30:43","11806240","350789980","3.37",,"23-Oct-2025 16:30:43"
"Saregama India Limited","192809490","115663743","    59.99","77145747","0","     0.00","     0.00",,"23-Oct-2025 16:30:25","5188715","192550669","2.69",,"23-Oct-2025 16:30:25"
"Sarla Performance Fibers Limited","83503000","47539166","    56.93","35963834","0","     0.00","     0.00",,"23-Oct-2025 16:30:37","1391242","82699890","1.68",,"23-Oct-2025 16:30:37"
"Sasken Technologies Limited","15142801","6523756","    43.08","8619045","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","331783","15014753","2.21",,"23-Oct-2025 16:30:33"
"Sastasundar Ventures Limited","31810500","23615272","    74.24","8195228","0","     0.00","     0.00",,"23-Oct-2025 16:30:44","526521","31810449","1.66",,"23-Oct-2025 16:30:44"
"Satia Industries Limited","100000000","52460389","    52.46","47539611","0","     0.00","     0.00",,"23-Oct-2025 16:30:53","3455835","99907550","3.46",,"23-Oct-2025 16:30:53"
"Satin Creditcare Network Limited","110470965","40443699","    36.61","70027266","0","     0.00","     0.00",,"23-Oct-2025 16:30:49","27065964","110331122","24.53",,"23-Oct-2025 16:30:49"
"Savita Oil Technologies Limited","68560415","47244501","    68.91","21315914","0","     0.00","     0.00",,"23-Oct-2025 16:30:13","698777","68208770","1.02",,"23-Oct-2025 16:30:13"
"Schaeffler India Limited","156303670","115863235","    74.13","40440435","0","     0.00","     0.00",,"23-Oct-2025 16:30:20","560592","156143845","0.36",,"23-Oct-2025 16:30:20"
"Schneider Electric Infrastructure Limited","239104035","179328026","    75.00","59776009","0","     0.00","     0.00",,"23-Oct-2025 16:30:47","3329045","237718284","1.4",,"23-Oct-2025 16:30:47"
"Seamec Limited","25425000","18488532","    72.72","6936468","0","     0.00","     0.00",,"23-Oct-2025 16:30:18","1261980","25208905","5.01",,"23-Oct-2025 16:30:18"
"Sejal Glass Limited","10100000","7575000","    75.00","2525000","13538","     0.18","     0.13",,"23-Oct-2025 16:30:54","122232","10098981","1.21",,"23-Oct-2025 16:30:54"
"Semac Construction Limited","3117308","1959367","    62.85","1157941","0","     0.00","     0.00",,"23-Oct-2025 16:30:33","13501","3085585","0.44",,"23-Oct-2025 16:30:33"
"Sequent Scientific Limited","251652648","132092353","    52.49","119560295","0","     0.00","     0.00",,"23-Oct-2025 16:30:50","8213716","251627643","3.26",,"23-Oct-2025 16:30:50"
"Servotech Renewable Power System Limited","225845348","132469070","    58.65","93376278","5239844","     3.96","     2.32",,"23-Oct-2025 16:30:51","13016479","225845348","5.76",,"23-Oct-2025 16:30:51"
