MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,TUNWAL,TUNWAL E-MOTORS LIMITED,        32.90,        32.95,        34.00,        32.05,        33.45,                  7629900.00,230000, ,        52.40,        27.25
N,SM,UHTL,UNITED HEAT TRANSFER LTD,        72.10,        73.00,        79.00,        73.00,        77.50,                  3643500.00,48000, ,       128.70,        51.50
N,SM,UMA,UMA CONVERTER LIMITED,        23.00,        23.00,        23.50,        23.00,        23.50,                   186000.00,8000, ,        45.05,        22.55
N,SM,UNIHEALTH,UNIHEALTH HOSPITALS LTD,       161.50,       159.00,       167.80,       159.00,       161.15,                   817750.00,5000, ,       191.00,       120.00
N,SM,UNILEX,UNILEX COLOURS AND CHEM L,        46.00,        46.00,        46.00,        46.00,        46.00,                    73600.00,1600, ,        89.00,        40.00
N,SM,URBAN,URBAN ENVIRO WASTE MGMT L,       162.50,       162.05,       168.50,       162.00,       167.05,                  3195720.00,19200, ,       695.15,       136.05
N,SM,USHAFIN,USHA FINANCIAL SERVICES L,        45.30,        47.35,        47.35,        46.30,        46.50,                   375760.00,8000, ,       168.00,        41.55
N,SM,UTSSAV,UTSSAV CZ GOLD JEWELS LTD,       175.05,       173.00,       173.00,       163.05,       168.15,                 17104110.00,102000, ,       315.25,       145.05
N,SM,VDEAL,VDEAL SYSTEM LIMITED,       195.00,       203.50,       203.50,       203.50,       203.50,                   488400.00,2400, ,       240.00,       100.25
N,SM,VEEKAYEM,VEEKAYEM FASH & APP LTD,       288.85,       275.70,       279.95,       274.40,       279.95,                   828300.00,3000, ,       337.95,       212.60
N,SM,VELS,VELS FILM INTERNATIONAL L,        41.70,        43.50,        43.50,        43.50,        43.50,                    52200.00,1200, ,        94.50,        35.15
N,SM,VGINFOTECH,VIRTUAL GALAXY INFOTECH L,       176.85,       179.95,       179.95,       172.00,       173.20,                  6296800.00,36000, ,       208.00,       146.00
N,SM,VIESL,VISION INFRA EQUIP SOL L,       213.50,       218.00,       232.00,       218.00,       224.80,                  6508960.00,28800, ,       249.90,       111.95
N,SM,VIGOR,VIGOR PLAST INDIA LIMITED,        85.00,        85.00,        85.00,        85.00,        85.00,                  2992000.00,35200, ,        98.00,        82.50
N,SM,VILAS,VILAS TRANSCORE LIMITED,       507.40,       507.40,       530.00,       506.00,       522.45,                 10730950.00,20750, ,       673.70,       291.00
N,SM,VILINBIO,VILIN BIO MED LIMITED,        25.80,        24.75,        24.80,        24.75,        24.80,                   198200.00,8000, ,        32.50,        16.25
N,SM,VINSYS,VINSYS IT SERVICES IND LT,       417.00,       419.95,       430.05,       411.50,       413.50,                  5875250.00,14000, ,       475.00,       300.00
N,SM,VINYAS,VINYAS INNOVATIVE TECH L,      1201.65,      1228.00,      1237.00,      1185.00,      1199.40,                  8708850.00,7200, ,      1440.00,       575.80
N,SM,VISHNUINFR,VISHNUSURYA PROJ N INFR L,       168.00,       169.50,       169.50,       169.50,       169.50,                   169500.00,1000, ,       391.00,       155.05
N,SM,VISHWAS,VISHWAS AGRI SEEDS LTD,        59.00,        58.50,        59.00,        58.05,        58.05,                   467280.00,8000, ,        91.90,        56.70
N,SM,VITAL,VITAL CHEMTECH LIMITED,        60.00,        61.50,        61.50,        59.50,        59.50,                   218400.00,3600, ,        80.90,        48.10
N,SM,VIVIANA,VIVIANA POWER TECH LTD,      1607.35,      1585.00,      1693.00,      1571.30,      1677.55,                 16255493.75,10000, ,      1714.95,       598.00
N,SM,VLINFRA,V.L.INFRAPROJECTS LIMITED,        35.00,        33.80,        33.80,        33.80,        33.80,                   101400.00,3000, ,        76.90,        32.10
N,SM,VMARCIND,V MARC INDIA LIMITED,       427.00,       423.00,       433.00,       423.00,       426.85,                  4580237.50,10750, ,       513.00,       200.30
N,SM,VR,V R INFRASPACE LIMITED,       204.00,       200.00,       200.00,       200.00,       200.00,                    80000.00,400, ,       349.10,       164.00
N,SM,WALPAR,WALPAR NUTRITIONS LIMITED,        39.85,        39.80,        39.85,        39.30,        39.70,                   317600.00,8000, ,        53.30,        37.85
N,SM,WHITEFORCE,HAPPY SQUARE OUTSOURC S L,        74.25,        74.25,        74.25,        74.00,        74.10,                   474800.00,6400, ,        94.80,        54.85
N,SM,WINSOL,WINSOL ENGINEERS LIMITED,       187.10,       187.10,       191.95,       185.60,       186.35,                  1875440.00,10000, ,       336.00,       155.00
N,SM,WOL3D,WOL 3D INDIA LIMITED,       128.00,       128.25,       128.25,       128.00,       128.00,                   512400.00,4000, ,       189.05,        97.00
N,SM,WOMANCART,WOMANCART LIMITED,       227.90,       231.00,       233.90,       215.00,       216.55,                 30295780.00,139600, ,       437.15,       211.15
N,SM,ZEAL,ZEAL GLOBAL SERVICES LTD,       112.00,       116.45,       120.90,       108.30,       119.10,                  1113900.00,9600, ,       210.00,       103.00
N,SM,ZENITHDRUG,ZENITH DRUGS LIMITED,        66.60,        62.60,        67.90,        62.60,        67.90,                   677120.00,10400, ,       141.00,        47.15
N,SM,ZTECH,Z-TECH (INDIA) LIMITED,       596.45,       596.00,       604.55,       594.65,       602.65,                  6837375.00,11400, ,       731.15,       326.40
N,ST,AARADHYA,AARADHYA DISPOSAL INDUS L,       161.00,       160.00,       160.00,       159.00,       160.00,                  1340400.00,8400, ,       175.75,        97.50
N,ST,ABHAPOWER,ABHA POWER N STEEL LTD,        40.00,        40.70,        42.00,        40.70,        42.00,                   802400.00,19200, ,        81.90,        26.45
N,ST,ACCENTMIC,ACCENT MICROCELL LIMITED,       244.95,       248.00,       248.00,       245.00,       246.45,                   615450.00,2500, ,       324.00,       180.00
N,ST,AGNI,AGNI GREEN POWER LTD,        27.90,        27.90,        27.90,        26.85,        26.95,                   476875.00,17500, ,        54.70,        17.90
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       254.00,       254.00,       254.00,       252.00,       252.05,                  1619280.00,6400, ,       285.20,        62.00
N,ST,ANLON,ANLON TECHNOLOGY SOL LTD,       435.00,       433.00,       450.00,       425.00,       443.30,                  2253280.00,5200, ,       505.80,       239.00
N,ST,ARUNAYA,ARUNAYA ORGANICS LIMITED,        23.05,        22.80,        22.80,        22.80,        22.80,                   136800.00,6000, ,        46.50,        22.50
G,ST,ASLIND,ASL INDUSTRIES LIMITED,        63.75,        65.00,        65.00,        65.00,        65.00,                   130000.00,2000, ,        65.00,        29.00
N,ST,AUSL,ADITYA ULTRA STEEL LTD,        36.40,        36.40,        36.60,        36.40,        36.60,                   146000.00,4000, ,        62.00,        23.65
N,ST,BALAJIPHOS,BALAJI PHOSPHATES LIMITED,       163.00,       160.00,       160.00,       158.00,       158.75,                  1590000.00,10000, ,       184.70,        72.60
N,ST,BIRDYS,GRILL SPLENDOUR SER LTD,       122.00,       128.10,       128.10,       128.10,       128.10,                   153720.00,1200, ,       154.00,        77.00
N,ST,C2C,C2C ADVANCED SYSTEMS LTD,       685.00,       668.00,       679.00,       650.75,       666.00,                 31928070.00,48600, ,       954.00,       250.15
N,ST,CHANDAN,CHANDAN HEALTHCARE LTD,       231.00,       230.00,       236.80,       230.00,       230.00,                  2035640.00,8800, ,       279.00,       140.00
N,ST,COOLCAP-RE,COOL CAPS INDUSTRIES LTD,        14.50,         8.70,         8.70,         8.70,         8.70,                   348000.00,40000, ,        15.00,         8.70
N,ST,DHTL,DOCMODE HEALTH TECH LTD,        75.05,        78.80,        78.80,        78.80,        78.80,                   189120.00,2400, ,       118.00,        36.90
N,ST,DPEL,DIVINE POWER ENERGY LTD,       236.00,       238.10,       241.00,       238.00,       240.15,                  3597000.00,15000, ,       251.80,        66.25
N,ST,ECOLINE,ECOLINE EXIM LIMITED,       140.50,       133.50,       141.00,       133.50,       140.15,                 37555900.00,268000, ,       141.00,       133.50
N,ST,FALCONTECH,FALCON TECHNOPROJ IND LTD,        19.55,        19.50,        19.50,        18.75,        18.75,                   137520.00,7200, ,        63.95,        14.85
N,ST,FLYSBS,FLYSBS AVIATION LIMITED,       520.00,       520.20,       528.50,       505.10,       525.60,                 15167880.00,29400, ,       790.00,       427.50
N,ST,FORGEAUTO,FORGE AUTO INTERNATION L,       152.00,       145.05,       145.10,       145.05,       145.10,                   348180.00,2400, ,       175.50,        60.00
N,ST,GANGABATH,GANGA BATH FITTINGS LTD,        24.95,        24.25,        25.00,        24.25,        25.00,                   295500.00,12000, ,        59.00,        23.05
N,ST,GPECO,GP ECO SOLUTIONS INDIA L,       550.00,       545.00,       545.00,       525.00,       534.40,                 18115890.00,34200, ,       616.50,       212.20
N,ST,GSMFOILS,GSM FOILS LIMITED,       222.00,       225.10,       230.00,       225.00,       227.45,                  5231750.00,23000, ,       255.15,        75.05
N,ST,GURUNANAK,GURUNANAK AGRICULTUR IN L,        75.00,        60.00,        60.00,        57.00,        57.00,                  1291200.00,22400, ,        60.00,        57.00
N,ST,INDIFRA,INDIFRA LIMITED,        17.90,        17.00,        17.00,        17.00,        17.00,                    68000.00,4000, ,        32.30,        12.65
N,ST,INFLUX,INFLUX HEALTHTECH LIMITED,       170.40,       169.00,       170.00,       167.00,       169.00,                  2427840.00,14400, ,       208.00,       120.00
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        95.00,        95.00,        96.90,        93.10,        95.00,                   129475.50,1365, ,       152.40,        18.60
N,ST,IWARE,IWARE SUPPLYCHAIN SER LTD,       126.90,       128.00,       131.00,       128.00,       130.65,                  1241760.00,9600, ,       141.00,        70.05
N,ST,JAINIK,JAINIK POWER CABLES LTD,       135.00,       133.00,       136.00,       131.20,       133.85,                   798960.00,6000, ,       153.10,        60.60
N,ST,JAKHARIA,JAKHARIA FABRIC LIMITED,       142.90,       150.00,       150.00,       150.00,       150.00,                   120000.00,800, ,       150.00,        33.05
N,ST,KANDARP,KANDARP DG SMART BPO LTD,       104.95,       100.10,       101.80,        99.70,       100.00,                 21993600.00,220000, ,       127.00,        33.95
N,ST,KOTYARK,KOTYARK INDUSTRIES LTD,       315.30,       312.00,       317.00,       300.00,       305.00,                  1731415.00,5700, ,      1195.00,       202.40
N,ST,MADHAVBAUG,VAIDYA SANE AYUR LAB LTD,       289.90,       287.00,       287.00,       287.00,       287.00,                   229600.00,800, ,       313.00,        81.10
N,ST,MASON,MASON INFRATECH LIMITED,       191.40,       182.10,       200.95,       182.10,       200.95,                 13556100.00,72000, ,       215.90,        73.50
N,ST,MGSL,MATRIX GEO SOLUTIONS LTD,        99.15,        97.00,       104.10,        94.20,       103.55,                 42128580.00,415200, ,       104.10,        94.20
N,ST,MIEL,MANGLAM INFRA & ENG LTD,        23.50,        24.65,        24.65,        23.55,        24.10,                    96400.00,4000, ,        64.50,        20.00
N,ST,MONOLITH,MONOLITHISCH INDIA LTD,       427.50,       434.90,       448.85,       430.00,       448.80,                 13245600.00,30000, ,       498.95,       219.45
G,ST,MVKAGRO,M.V.K. AGRO FOOD PROD LTD,       506.65,       516.50,       516.75,       516.50,       516.75,                111605700.00,216000, ,       516.75,        32.05
N,ST,MYMUDRA,MY MUDRA FINCORP LIMITED,        94.00,        90.05,        92.85,        90.00,        91.45,                  2079060.00,22800, ,       119.10,        51.60
N,ST,NEPHROCARE,NEPHRO CARE INDIA LIMITED,       142.85,       140.10,       145.00,       140.00,       144.90,                  2271680.00,16000, ,       274.00,        99.95
N,ST,NEWJAISA,NEWJAISA TECHNOLOGIES LTD,        40.20,        41.50,        41.60,        38.25,        38.25,                   711750.00,18000, ,       105.00,        27.05
G,ST,OSELDEVICE,OSEL DEVICES LIMITED,       593.90,       582.05,       596.00,       582.05,       596.00,                 21426320.00,36800, ,       657.80,       169.60
N,ST,PARTH,PARTH ELEC & ENG LTD,       238.45,       230.00,       240.00,       227.30,       236.75,                  4089600.00,17600, ,       306.40,       169.00
N,ST,PHANTOMFX,PHANTOM DIGITAL EFF LTD,       232.50,       220.90,       227.20,       220.90,       220.90,                 19035870.00,85800, ,       365.00,       165.00
G,ST,POLYSIL,POLYSIL IRRIGATION SYST L,       255.40,       257.50,       260.50,       257.50,       260.25,                 17125500.00,66000, ,       260.50,        14.25
N,ST,PPSL,PICTUREPOST STUDIOS LTD,        13.80,        13.45,        13.80,        13.30,        13.45,                   281700.00,21000, ,        45.60,        11.55
N,ST,PRIMECAB,PRIME CABLE INDUSTRIES L,        74.40,        70.70,        78.10,        70.70,        78.10,                  8077600.00,107200, ,        81.00,        70.70
N,ST,PRIZOR,PRIZOR VIZTECH LIMITED,       313.70,       319.85,       329.35,       310.00,       326.00,                 15122080.00,46400, ,       340.00,       105.10
N,ST,PURPLEUTED,PURPLE UNITED SALES LTD,       425.50,       445.50,       445.50,       420.00,       425.00,                  2575550.00,6000, ,       501.80,       119.55
N,ST,PURVFLEXI,PURV FLEXIPACK LIMITED,       103.55,       100.00,       100.00,        99.00,        99.50,                   159200.00,1600, ,       231.00,        69.00
N,ST,READYMIX,READYMIX CONSTRU MACHI L,       149.50,       148.05,       155.50,       148.05,       152.75,                  1522000.00,10000, ,       175.00,        55.20
G,ST,SAAKSHI,SAAKSHI MEDTEC N PANELS L,       172.00,       172.00,       173.00,       170.05,       170.05,                   824430.00,4800, ,       255.00,       118.00
N,ST,SABAR,SABAR FLEX INDIA LIMITED,         5.40,         5.15,         5.15,         5.15,         5.15,                    51500.00,10000, ,        21.00,         3.80
N,ST,SHRIAHIMSA,SHRI AHIMSA NATURALS LTD,       223.00,       219.00,       234.15,       216.20,       232.90,                  6826080.00,30000, ,       246.95,       126.50
N,ST,SIDDHICOTS,SIDDHI COTSPIN LIMITED,        74.10,        70.40,        70.40,        70.40,        70.40,                   253440.00,3600, ,        86.40,        70.40
N,ST,TAC,TAC INFOSEC LIMITED,      1043.45,      1058.95,      1095.60,      1058.00,      1095.60,                 13442165.00,12400, ,      1697.00,       619.90
G,ST,TANKUP,TANKUP ENGINEERS LIMITED,       494.90,       485.25,       485.25,       485.25,       485.25,                   485250.00,1000, ,       494.90,       152.55
N,ST,TECHD,TECHD CYBERSECURITY LTD,       515.30,       491.00,       541.05,       491.00,       541.05,                164151870.00,318000, ,       541.05,       366.70
N,ST,TEJASCARGO,TEJAS CARGO INDIA LIMITED,       305.00,       296.00,       296.00,       296.00,       296.00,                   236800.00,800, ,       327.00,       141.05
N,ST,TIMESCAN,TIMESCAN LOGISTICS IND L,        49.55,        52.00,        52.00,        52.00,        52.00,                   624000.00,12000, ,        91.75,        38.40
N,ST,USASEEDS,UPSURGE SEEDS OF AGRI LTD,       255.00,       267.00,       267.00,       267.00,       267.00,                    80100.00,300, ,       314.40,       130.70
N,ST,VIAZ,VIAZ TYRES LIMITED,        84.00,        82.00,        82.00,        79.80,        79.80,                  1955200.00,24000, ,        99.55,        49.30
G,ST,VISAMAN,VISAMAN GLOBAL SALES LTD,       118.60,       118.60,       118.60,       118.60,       118.60,                   355800.00,3000, ,       121.25,        34.00
N,ST,VOLERCAR,VOLER CAR LIMITED,       236.90,       235.00,       235.00,       230.00,       230.25,                  1112800.00,4800, ,       241.50,        77.40
N,ST,WTICAB,WISE TRAVEL INDIA LIMITED,       158.20,       159.50,       166.10,       159.50,       166.10,                  1806200.00,11000, ,       289.25,       115.20
N,ST,YASHOPTICS,YASH OPTICS & LENS LTD,       133.50,       131.90,       133.45,       130.00,       130.30,                  1267600.00,9600, ,       153.50,        72.60
