MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,NEPTUNE,NEPTUNE PETROCHEMICALS L,       173.00,       171.00,       171.00,       170.00,       171.00,                   683000.00,4000, ,       186.00,       126.30
N,SM,NIDAN,NIDAN LABS AND HEALTH LTD,        18.25,        18.25,        18.40,        18.25,        18.40,                    36650.00,2000, ,        35.00,        16.05
N,SM,NIKITA,NIKITA PAPERS LIMITED,       110.10,       110.00,       114.50,       110.00,       114.05,                  4336920.00,38400, ,       133.30,        77.15
N,SM,NIRMAN,NIRMAN AGRI GENTICS LTD,       178.80,       169.90,       169.90,       169.90,       169.90,                 13150260.00,77400, ,       456.00,       130.10
N,SM,NMSTEEL,NEWMALAYALAM STEEL LTD,        31.95,        31.95,        31.95,        30.70,        30.70,                   249920.00,8000, ,        90.00,        23.35
N,SM,NRVANDANA,N R VANDANA TEX IND LTD,        56.85,        55.10,        59.75,        55.10,        59.40,                  6261000.00,108000, ,        61.00,        37.05
N,SM,OBSCP,OBSC PERFECTION LIMITED,       297.25,       299.00,       304.80,       299.00,       301.00,                  5406660.00,18000, ,       355.25,       110.00
N,SM,OLIL,ONECLICK LOGISTICS IND L,       276.80,       268.25,       268.25,       268.25,       268.25,                   643800.00,2400, ,       282.00,        72.50
N,SM,OMFURN,OMFURN INDIA LIMITED,       124.40,       120.00,       123.50,       120.00,       123.50,                   584700.00,4800, ,       138.50,        58.05
N,SM,ONDOOR,ON DOOR CONCEPTS LIMITED,       145.00,       152.70,       152.70,       145.10,       145.10,                   134625.00,900, ,       463.95,       120.85
N,SM,ONYX,ONYX BIOTEC LIMITED,        43.00,        42.00,        42.00,        42.00,        42.00,                   168000.00,4000, ,        97.45,        41.30
N,SM,OPTIVALUE,OPTIVALUE TEK CONSULT LTD,        98.00,        95.00,        99.00,        93.00,        96.75,                  3989840.00,41600, ,       107.55,        93.00
N,SM,ORIANA,ORIANA POWER LIMITED,      2644.60,      2720.00,      2776.80,      2700.00,      2776.80,                255401021.25,92625, ,      2797.00,      1000.00
N,SM,OWAIS,OWAIS METAL & MINERAL,       422.60,       425.00,       507.10,       415.05,       507.10,                 42530615.00,87700, ,      1530.00,       400.00
N,SM,PARAGON,PARAGON FINE S.C. LTD.,        53.00,        52.20,        54.00,        52.20,        53.50,                   384300.00,7200, ,       173.95,        52.00
N,SM,PARAMOUNT,PARAMOUNT DYE TEC LIMITED,        58.90,        59.00,        59.00,        57.00,        57.00,                   491520.00,8400, ,       109.90,        46.25
N,SM,PARIN,PARIN ENTERPRISES LIMITED,       547.00,       530.00,       544.50,       522.50,       539.70,                 14050975.00,26500, ,       549.00,       301.00
N,SM,PARTYCRUS,PARTY CRUISERS LIMITED,        72.10,        72.10,        72.10,        72.10,        72.10,                   144200.00,2000, ,       140.00,        65.15
N,SM,PATILAUTOM,PATIL AUTOMATION LIMITED,       172.80,       173.05,       184.70,       170.00,       181.45,                 15372960.00,88800, ,       268.90,       155.00
N,SM,PCCL,PETRO CARBON AND CHEMI L,       171.50,       173.25,       173.25,       172.10,       172.70,                  1037720.00,6000, ,       273.60,       150.00
N,SM,PELATRO,PELATRO LIMITED,       380.10,       385.00,       385.00,       378.00,       379.00,                  5019300.00,13200, ,       559.90,       263.00
N,SM,PENTAGON,PENTAGON RUBBER LIMITED,        76.50,        76.50,        77.00,        70.00,        70.90,                  3365850.00,46000, ,       114.80,        50.55
N,SZ,PERFECT,PERFECT INFRAENGINEER LTD,         5.25,         5.00,         5.00,         5.00,         5.00,                    15000.00,3000, ,        29.70,         4.40
N,SM,PHOGLOBAL,PHOENIX OVERSEAS LIMITED,        21.50,        21.60,        21.75,        21.50,        21.50,                   259500.00,12000, ,        57.80,        16.75
N,SM,POSITRON,POSITRON ENERGY LIMITED,       322.15,       329.85,       330.00,       317.00,       320.90,                  2028480.00,6300, ,       437.00,       225.00
N,SM,PRAMARA,PRAMARA PROMOTIONS LTD,       276.20,       280.50,       294.00,       275.80,       284.70,                 23095650.00,82000, ,       294.00,       101.05
N,SM,PRANIK,PRANIK LOGISTICS LIMITED,        77.00,        75.00,        75.00,        75.00,        75.00,                   120000.00,1600, ,       112.95,        55.25
N,SM,PRATHAM,PRATHAM EPC PROJECTS LTD,       137.05,       138.50,       138.50,       134.75,       138.20,                  1040300.00,7600, ,       262.35,       134.75
N,SM,PRECISION,PRECISION METALIKS LTD,        18.80,        18.70,        19.70,        18.10,        19.50,                   612700.00,32000, ,        66.95,        17.50
N,SM,PREMIUM,PREMIUM PLAST LIMITED,        37.05,        36.05,        37.35,        35.95,        37.10,                  1631100.00,45000, ,        51.75,        26.05
