SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
SARLAPOLY,,,,,Sarla Performance Fibers Limited,Satidham Industries Private Limited,198400,Buy,,56.93,,,,
SARLAPOLY,,,,,Sarla Performance Fibers Limited,Hindustan Cotton Company,396800,Buy,,56.93,,,,
SARLAPOLY,,,,,Sarla Performance Fibers Limited,Hindustan Cotton Company,198400,Buy,,56.93,,,,
SARLAPOLY,,,,,Sarla Performance Fibers Limited,Hindustan Cotton Company,396800,Buy,,56.93,,,,
SARLAPOLY,,,,,Sarla Performance Fibers Limited,Hindustan Cotton Company,1076662,Buy,,56.93,,,,
SARLAPOLY,,,,,Sarla Performance Fibers Limited,Satidham Industries Private Limited,299562,Buy,,56.93,,,,
SARTELE,,,,,,,,,,,N,SM,SAR TELEVENTURE LIMITED,179.5
SASKEN,,,,,Sasken Technologies Limited,ANEES AHMED HAIDARY,15084,Sell,,43.08,,,,
SASKEN,,,,,Sasken Technologies Limited,ARTI MODY,1959794,Buy,,43.08,,,,
SASKEN,,,,,Sasken Technologies Limited,Arti Mody,2988783,Buy,,43.08,,,,
SASKEN,,,,,Sasken Technologies Limited,ARTI MODY,10469357,Buy,,43.08,,,,
SASKEN,,,,,Sasken Technologies Limited,Vinay Chandrashekhar Harugop,422808,Sell,,43.08,,,,
SASKEN,,,,,Sasken Technologies Limited,Jayadatta P,504157,Buy,,43.08,,,,
