SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
ROTO,,,,,Roto Pumps Limited,Shalini Gupta,714472,Sell,,66.61,,,,
ROTO,,,,,Roto Pumps Limited,Shalini Gupta,-,Sell,,66.61,,,,
ROXHITECH,,,,,,,,,,,N,SM,ROX HI TECH LIMITED,45.5
ROYALARC,,,,,,,,,,,N,SM,ROYAL ARC ELECTRODES LTD,169.9
RPTECH,,,,,Rashi Peripherals Limited,Priyanka Kapal Pansari,4719150,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Priyanka Kapal Pansari,2962329,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Priyanka Kapal Pansari,4798350,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Gazal Chaman Pansari,1451291,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Gazal Chaman Pansari,617660,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Krishna Kumar Choudhary,5719679,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Gazal Chaman Pansari,282950,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Gazal Chaman Pansari,4440082,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Gazal Chaman Pansari,4799975,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Manju Suresh Pansari,0,Sell,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Kapal Pansari Family Trust,0,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Manju Suresh Pansari,0,Sell,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Suresh Mahavirprasad Pansari,0,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Chaman Pansari Family Trust,0,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Suresh Mahavirprasad Pansari,0,Sell,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Chaman Suresh Pansari,0,Sell,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Kapal Suresh Pansari,0,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Gazal Chaman Pansari,0,Sell,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Chaman Suresh Pansari,0,Buy,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Priyanka Kapal Pansari,0,Sell,,63.79,,,,
RPTECH,,,,,Rashi Peripherals Limited,Kapal Suresh Pansari,0,Buy,,63.79,,,,
RSSOFTWARE,,,,,R. S. Software (India) Limited,Rajnit Rai Jain,1245643,Buy,,40.88,,,,
RSSOFTWARE,,,,,R. S. Software (India) Limited,Rajnit Rai Jain,162399,Buy,,40.88,,,,
RSSOFTWARE,,,,,R. S. Software (India) Limited,Rajnit Rai Jain,1874755,Buy,,40.88,,,,
RTL,,,,,,,,,,,N,SM,RAMA TELECOM LIMITED,63.05
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,655318,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,352252,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,1002786,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,2019449,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,410050,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,797532,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,74055,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,64788,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,27473,Buy,,57.77,,,,
